id,isim,soyisim,yas,yillik_gelir,satin_alma_miktari
5422,Fatma,Demir,31,60080,14
5423,Elif,Çelik,69,29766,4
5424,Fatma,Doğan,34,116168,11
5425,Selin,Arslan,58,20046,16
5426,Mehmet,Demir,63,147483,17
5427,Zeynep,Demir,29,102003,6
5428,Ahmet,Arslan,52,34712,8
5429,Fatma,Demir,35,54704,8
5430,Zeynep,Arslan,24,21093,17
5431,Emre,Şahin,42,27954,11
5432,Ayşe,Yılmaz,47,111226,12
5433,Emre,Korkmaz,47,34567,13
5434,Zeynep,Şahin,20,64640,18
5435,Emre,Öztürk,29,101451,18
5436,Elif,Yılmaz,64,97803,2
5437,Zeynep,Korkmaz,58,48328,16
5438,Ayşe,Kaya,35,118873,17
5439,Emre,Arslan,57,89194,6
5440,Hüseyin,Öztürk,27,148735,17
5441,Hüseyin,Şahin,61,122214,3
5442,Emre,Şahin,44,141126,11
5443,Mehmet,Arslan,38,116921,16
5444,Fatma,Demir,22,119963,15
5445,Ali,Öztürk,60,117353,5
5446,Ayşe,Çelik,20,30044,18
5447,Mehmet,Şahin,57,39556,15
5448,Mehmet,Doğan,37,98919,4
5449,Emre,Kaya,25,101555,17
5450,Zeynep,Yılmaz,49,124197,15
5451,Ayşe,Şahin,50,85286,18
5452,Fatma,Doğan,22,145083,4
5453,Selin,Doğan,45,123152,16
5454,Hüseyin,Demir,42,124787,18
5455,Fatma,Şahin,60,112327,6
5456,Hüseyin,Güler,26,103450,15
5457,Fatma,Öztürk,62,118197,10
5458,Hüseyin,Demir,44,47384,17
5459,Mehmet,Çelik,56,25606,2
5460,Mehmet,Öztürk,45,29548,5
5461,Ahmet,Arslan,52,81848,4
5462,Ayşe,Güler,61,76543,11
5463,Zeynep,Demir,30,100113,3
5464,Selin,Güler,65,114299,5
5465,Hüseyin,Korkmaz,26,78490,13
5466,Hüseyin,Arslan,58,84574,8
5467,Ahmet,Yılmaz,63,113745,13
5468,Ahmet,Şahin,50,143699,7
5469,Emre,Yılmaz,18,137837,9
5470,Ayşe,Kaya,65,20781,6
5471,Ayşe,Yılmaz,35,138336,9
5472,Zeynep,Şahin,30,91500,11
5473,Fatma,Demir,34,79027,18
5474,Emre,Yılmaz,29,84183,12
5475,Zeynep,Güler,33,82539,13
5476,Ali,Yılmaz,46,127836,13
5477,Ayşe,Yılmaz,69,103145,9
5478,Elif,Korkmaz,18,92795,18
5479,Ahmet,Doğan,64,61960,16
5480,Emre,Demir,46,142354,18
5481,Mehmet,Doğan,54,85447,10
5482,Mehmet,Yılmaz,36,147031,15
5483,Hüseyin,Doğan,35,82307,12
5484,Hüseyin,Öztürk,43,124871,1
5485,Ahmet,Güler,58,25946,2
5486,Ahmet,Şahin,43,49615,15
5487,Ali,Çelik,22,24087,2
5488,Ali,Demir,28,50892,6
5489,Hüseyin,Güler,51,65691,6
5490,Hüseyin,Yılmaz,40,57903,10
5491,Zeynep,Güler,51,61047,10
5492,Ahmet,Korkmaz,64,38271,17
5493,Ali,Doğan,36,138443,19
5494,Ahmet,Güler,53,38898,11
5495,Ahmet,Kaya,66,53334,1
5496,Elif,Öztürk,38,81708,17
5497,Ayşe,Yılmaz,23,28432,2
5498,Hüseyin,Yılmaz,53,56607,13
5499,Ayşe,Korkmaz,65,128547,4
5500,Fatma,Şahin,31,97672,17
5501,Elif,Öztürk,58,62577,11
5502,Ayşe,Yılmaz,57,48427,17
5503,Fatma,Yılmaz,48,88966,6
5504,Fatma,Korkmaz,29,117791,10
5505,Zeynep,Arslan,26,70018,15
5506,Zeynep,Şahin,44,120668,1
5507,Emre,Demir,58,30528,17
5508,Ayşe,Doğan,49,87969,17
5509,Ali,Kaya,44,149087,8
5510,Ayşe,Arslan,68,118091,13
5511,Selin,Şahin,55,78391,18
5512,Mehmet,Öztürk,37,147489,11
5513,Ayşe,Korkmaz,49,35166,2
5514,Fatma,Kaya,24,106264,1
5515,Emre,Korkmaz,69,85079,14
5516,Emre,Şahin,55,100178,9
5517,Ali,Çelik,29,44994,8
5518,Selin,Demir,33,110147,3
5519,Hüseyin,Güler,62,76128,16
5520,Emre,Güler,22,88379,5
5521,Zeynep,Öztürk,53,29436,5
5522,Elif,Çelik,68,76974,8
5523,Selin,Güler,35,104062,9
5524,Hüseyin,Güler,62,107689,19
5525,Emre,Doğan,43,53675,11
5526,Ali,Şahin,30,37369,19
5527,Ayşe,Yılmaz,18,36471,3
5528,Emre,Kaya,50,103828,10
5529,Fatma,Çelik,24,101243,18
5530,Zeynep,Çelik,53,63294,12
5531,Mehmet,Doğan,59,80031,17
5532,Selin,Korkmaz,58,123007,19
5533,Emre,Arslan,37,47469,7
5534,Mehmet,Çelik,53,110056,14
5535,Mehmet,Doğan,47,70834,1
5536,Elif,Öztürk,60,25776,1
5537,Emre,Öztürk,41,113252,12
5538,Selin,Öztürk,43,36782,18
5539,Ahmet,Güler,38,145943,6
5540,Ahmet,Çelik,62,34987,9
5541,Emre,Çelik,26,114167,8
5542,Zeynep,Doğan,56,73505,5
5543,Hüseyin,Arslan,40,80396,3
5544,Elif,Korkmaz,57,105563,10
5545,Ayşe,Şahin,68,42994,13
5546,Elif,Doğan,33,66919,6
5547,Zeynep,Demir,22,90554,4
5548,Hüseyin,Arslan,29,91029,19
5549,Ali,Öztürk,44,113900,2
5550,Ayşe,Çelik,29,79177,17
5551,Selin,Yılmaz,44,23369,10
5552,Mehmet,Yılmaz,30,106704,16
5553,Fatma,Korkmaz,46,38642,13
5554,Emre,Korkmaz,18,127076,2
5555,Selin,Arslan,23,45411,11
5556,Ali,Korkmaz,56,66953,8
5557,Elif,Demir,31,26530,17
5558,Zeynep,Korkmaz,40,135222,7
5559,Zeynep,Çelik,42,43037,7
5560,Selin,Demir,44,91690,17
5561,Ahmet,Kaya,23,38092,17
5562,Ali,Güler,36,50824,11
5563,Ali,Güler,62,128678,2
5564,Elif,Çelik,64,92821,7
5565,Selin,Güler,46,36485,18
5566,Mehmet,Doğan,21,92357,4
5567,Mehmet,Yılmaz,41,96431,18
5568,Mehmet,Kaya,27,53617,12
5569,Emre,Öztürk,69,129670,6
5570,Ayşe,Güler,23,112135,8
5571,Emre,Kaya,44,103521,18
5572,Emre,Doğan,51,68103,7
5573,Zeynep,Demir,19,56101,18
5574,Zeynep,Demir,50,96102,8
5575,Fatma,Arslan,38,35950,1
5576,Ahmet,Doğan,65,47802,14
5577,Ahmet,Korkmaz,45,141736,13
5578,Zeynep,Doğan,60,117736,13
5579,Zeynep,Demir,30,136813,5
5580,Mehmet,Çelik,49,27960,14
5581,Mehmet,Şahin,63,66943,5
5582,Elif,Yılmaz,45,47952,5
5583,Emre,Doğan,21,68981,10
5584,Selin,Güler,69,105109,17
5585,Ahmet,Güler,38,113291,2
5586,Selin,Kaya,28,95328,17
5587,Elif,Doğan,69,70254,12
5588,Mehmet,Doğan,27,29948,17
5589,Elif,Demir,23,37696,8
5590,Mehmet,Doğan,31,24350,12
5591,Emre,Yılmaz,58,69467,11
5592,Ayşe,Öztürk,35,84961,14
5593,Selin,Arslan,63,83991,8
5594,Emre,Doğan,43,87318,12
5595,Ahmet,Öztürk,21,135359,1
5596,Emre,Çelik,18,20597,1
5597,Ayşe,Yılmaz,32,66794,5
5598,Emre,Doğan,32,64863,16
5599,Ayşe,Arslan,41,66488,13
5600,Mehmet,Güler,24,38063,7
5601,Emre,Yılmaz,33,46688,19
5602,Emre,Arslan,23,120985,4
5603,Ali,Demir,18,122807,11
5604,Fatma,Güler,57,80730,9
5605,Fatma,Kaya,25,75623,15
5606,Hüseyin,Yılmaz,35,55174,12
5607,Selin,Doğan,50,96123,5
5608,Zeynep,Kaya,47,148083,17
5609,Hüseyin,Çelik,49,75976,7
5610,Hüseyin,Şahin,33,65737,8
5611,Zeynep,Arslan,29,42267,18
5612,Fatma,Demir,61,123890,18
5613,Selin,Öztürk,49,29016,16
5614,Selin,Güler,36,26141,19
5615,Ayşe,Doğan,61,84918,1
5616,Emre,Öztürk,56,124491,9
5617,Ali,Güler,40,122844,5
5618,Hüseyin,Kaya,25,101678,8
5619,Elif,Güler,53,89797,2
5620,Zeynep,Yılmaz,37,68848,18
5621,Hüseyin,Öztürk,23,28288,10
5622,Hüseyin,Demir,67,62215,3
5623,Ayşe,Kaya,18,49352,1
5624,Elif,Güler,61,93121,1
5625,Emre,Demir,19,45376,4
5626,Mehmet,Öztürk,68,143323,3
5627,Elif,Kaya,32,25983,4
5628,Mehmet,Korkmaz,36,146956,16
5629,Ahmet,Doğan,59,94847,18
5630,Elif,Şahin,24,144125,7
5631,Ali,Arslan,54,118588,17
5632,Selin,Kaya,61,98511,9
5633,Mehmet,Öztürk,67,101609,18
5634,Elif,Çelik,50,83166,3
5635,Elif,Arslan,29,48915,3
5636,Mehmet,Doğan,41,98873,9
5637,Ayşe,Şahin,42,55927,12
5638,Hüseyin,Kaya,68,107713,9
5639,Ali,Yılmaz,26,30736,17
5640,Elif,Korkmaz,37,99010,8
5641,Hüseyin,Doğan,20,104133,12
5642,Elif,Öztürk,68,48633,7
5643,Elif,Doğan,46,73649,17
5644,Ali,Arslan,56,136983,18
5645,Fatma,Arslan,64,68748,3
5646,Ahmet,Güler,61,72338,5
5647,Hüseyin,Demir,51,146183,2
5648,Selin,Doğan,31,60858,17
5649,Zeynep,Çelik,63,141164,18
5650,Fatma,Doğan,51,45549,15
5651,Hüseyin,Arslan,28,104198,5
5652,Fatma,Arslan,69,123772,10
5653,Elif,Şahin,41,67465,13
5654,Selin,Doğan,31,88914,14
5655,Elif,Çelik,69,55761,13
5656,Hüseyin,Arslan,64,60600,15
5657,Ali,Çelik,48,119267,3
5658,Emre,Güler,18,36024,1
5659,Mehmet,Doğan,61,138045,17
5660,Emre,Öztürk,25,31716,2
5661,Ali,Güler,21,32233,17
5662,Emre,Yılmaz,64,92004,3
5663,Selin,Yılmaz,18,87376,7
5664,Zeynep,Korkmaz,49,58248,8
5665,Hüseyin,Demir,26,140101,7
5666,Zeynep,Korkmaz,21,20762,3
5667,Ali,Çelik,29,25826,19
5668,Emre,Doğan,41,145014,10
5669,Emre,Şahin,38,100951,17
5670,Ahmet,Şahin,19,134888,10
5671,Fatma,Yılmaz,24,133709,4
5672,Hüseyin,Şahin,64,108384,8
5673,Hüseyin,Doğan,22,89691,4
5674,Elif,Yılmaz,60,75749,13
5675,Emre,Yılmaz,53,40748,2
5676,Mehmet,Çelik,65,127451,1
5677,Emre,Çelik,40,85042,11
5678,Ali,Güler,48,109930,4
5679,Zeynep,Çelik,56,83259,4
5680,Ahmet,Öztürk,29,106402,12
5681,Mehmet,Doğan,52,97427,17
5682,Ahmet,Çelik,21,127790,9
5683,Ayşe,Öztürk,67,45455,3
5684,Mehmet,Şahin,60,55185,1
5685,Ahmet,Arslan,18,46592,6
5686,Fatma,Kaya,24,37798,7
5687,Ahmet,Kaya,51,142876,12
5688,Selin,Korkmaz,47,101028,15
5689,Ayşe,Yılmaz,39,24290,9
5690,Selin,Demir,32,84194,9
5691,Ahmet,Kaya,40,51277,3
5692,Hüseyin,Korkmaz,45,39673,9
5693,Emre,Öztürk,21,94825,4
5694,Mehmet,Arslan,67,55322,5
5695,Elif,Korkmaz,48,144895,16
5696,Ali,Kaya,57,100510,12
5697,Ali,Yılmaz,64,51512,6
5698,Hüseyin,Güler,41,124783,13
5699,Emre,Korkmaz,42,147506,5
5700,Elif,Güler,61,85806,5
5701,Mehmet,Demir,31,50795,16
5702,Emre,Öztürk,50,105162,3
5703,Ahmet,Öztürk,50,110863,8
5704,Ayşe,Demir,68,108480,17
5705,Ali,Öztürk,67,135789,3
5706,Mehmet,Öztürk,43,58798,7
5707,Ayşe,Kaya,27,106506,3
5708,Mehmet,Arslan,55,22066,12
5709,Ayşe,Öztürk,62,49982,14
5710,Ayşe,Kaya,35,136554,7
5711,Elif,Kaya,41,70103,16
5712,Hüseyin,Öztürk,53,86169,1
5713,Ayşe,Yılmaz,53,78082,7
5714,Ahmet,Öztürk,52,132301,12
5715,Emre,Şahin,38,44803,7
5716,Selin,Korkmaz,23,63819,16
5717,Selin,Arslan,38,94606,19
5718,Ali,Şahin,24,25205,4
5719,Hüseyin,Korkmaz,26,83060,1
5720,Selin,Güler,18,101430,19
5721,Emre,Demir,62,44015,1
5722,Ali,Korkmaz,43,135105,13
5723,Mehmet,Güler,56,62168,13
5724,Fatma,Çelik,25,81403,4
5725,Ayşe,Şahin,27,67969,9
5726,Selin,Doğan,24,91648,12
5727,Mehmet,Çelik,47,82299,4
5728,Zeynep,Çelik,23,103552,14
5729,Zeynep,Arslan,54,24593,9
5730,Selin,Demir,47,120828,2
5731,Ayşe,Güler,57,97181,2
5732,Zeynep,Öztürk,37,94501,7
5733,Fatma,Güler,65,25652,16
5734,Emre,Öztürk,40,121757,11
5735,Mehmet,Çelik,21,68777,19
5736,Zeynep,Yılmaz,25,125061,10
5737,Selin,Doğan,47,65606,10
5738,Mehmet,Yılmaz,38,23857,8
5739,Elif,Yılmaz,26,24358,2
5740,Zeynep,Arslan,36,109540,6
5741,Ali,Güler,40,109290,10
5742,Selin,Çelik,40,111230,6
5743,Elif,Arslan,39,88610,16
5744,Zeynep,Kaya,64,63886,16
5745,Selin,Öztürk,57,49074,15
5746,Hüseyin,Yılmaz,52,51800,12
5747,Mehmet,Demir,52,36170,9
5748,Ahmet,Korkmaz,34,93247,14
5749,Emre,Öztürk,31,84797,19
5750,Ali,Güler,46,33876,12
5751,Ayşe,Güler,31,104018,7
5752,Ayşe,Korkmaz,51,148955,19
5753,Fatma,Şahin,44,134012,10
5754,Mehmet,Demir,31,98180,2
5755,Mehmet,Öztürk,28,52562,3
5756,Zeynep,Doğan,41,147317,13
5757,Elif,Demir,39,25180,10
5758,Emre,Öztürk,45,40131,4
5759,Zeynep,Korkmaz,63,88944,17
5760,Ayşe,Kaya,39,122121,15
5761,Fatma,Demir,49,147249,14
5762,Ahmet,Öztürk,56,91451,17
5763,Fatma,Arslan,36,124147,15
5764,Hüseyin,Güler,45,25197,2
5765,Hüseyin,Çelik,44,25793,17
5766,Fatma,Arslan,41,144633,9
5767,Zeynep,Yılmaz,25,134317,3
5768,Emre,Öztürk,31,72092,16
5769,Emre,Yılmaz,38,85541,17
5770,Ahmet,Arslan,48,22729,17
5771,Ali,Korkmaz,53,114773,12
5772,Selin,Şahin,28,134264,6
5773,Zeynep,Şahin,53,78476,16
5774,Hüseyin,Korkmaz,23,86818,14
5775,Ali,Kaya,55,125161,8
5776,Hüseyin,Arslan,40,25071,11
5777,Emre,Demir,51,51551,2
5778,Ali,Öztürk,36,137507,7
5779,Ali,Doğan,18,106077,5
5780,Mehmet,Yılmaz,49,45792,4
5781,Fatma,Öztürk,62,45644,6
5782,Emre,Doğan,48,77168,5
5783,Mehmet,Demir,63,130178,2
5784,Hüseyin,Yılmaz,20,53438,14
5785,Ali,Yılmaz,39,140148,9
5786,Ahmet,Yılmaz,36,65670,5
5787,Hüseyin,Güler,34,118481,9
5788,Hüseyin,Korkmaz,53,76538,6
5789,Ali,Şahin,30,93310,18
5790,Selin,Şahin,26,132214,12
5791,Hüseyin,Yılmaz,44,100078,6
5792,Elif,Kaya,53,121303,16
5793,Zeynep,Doğan,27,123971,4
5794,Elif,Çelik,49,104864,2
5795,Hüseyin,Güler,62,125421,5
5796,Mehmet,Demir,67,78358,3
5797,Mehmet,Çelik,61,103136,13
5798,Ahmet,Şahin,65,111886,12
5799,Fatma,Demir,18,89692,2
5800,Selin,Demir,63,22888,2
5801,Ahmet,Demir,38,40174,7
5802,Ayşe,Kaya,46,116008,3
5803,Elif,Öztürk,56,129297,9
5804,Hüseyin,Arslan,54,146825,9
5805,Ahmet,Doğan,48,146969,7
5806,Mehmet,Demir,51,72097,1
5807,Fatma,Şahin,53,103393,14
5808,Emre,Yılmaz,59,88994,4
5809,Fatma,Şahin,44,60207,8
5810,Ali,Kaya,64,114357,17
5811,Hüseyin,Çelik,36,61902,10
5812,Ayşe,Korkmaz,42,113442,14
5813,Ayşe,Korkmaz,42,75120,17
5814,Ayşe,Yılmaz,32,115201,16
5815,Zeynep,Arslan,46,143600,6
5816,Ahmet,Korkmaz,68,72378,12
5817,Fatma,Korkmaz,59,57959,17
5818,Selin,Arslan,37,128272,11
5819,Mehmet,Güler,20,64941,5
5820,Ahmet,Doğan,60,73987,14
5821,Fatma,Demir,67,25252,5
5822,Elif,Yılmaz,47,62410,12
5823,Zeynep,Güler,19,129254,11
5824,Ayşe,Doğan,39,88266,11
5825,Emre,Korkmaz,35,112923,3
5826,Zeynep,Korkmaz,43,25836,6
5827,Ayşe,Korkmaz,32,120705,14
5828,Zeynep,Demir,40,134892,9
5829,Ayşe,Güler,33,46686,3
5830,Zeynep,Korkmaz,68,33683,5
5831,Hüseyin,Demir,36,109772,14
5832,Elif,Yılmaz,29,39683,1
5833,Ayşe,Korkmaz,42,113645,12
5834,Fatma,Güler,23,94454,4
5835,Emre,Arslan,61,107095,11
5836,Ayşe,Kaya,24,148535,13
5837,Zeynep,Arslan,59,97387,2
5838,Zeynep,Demir,61,32897,16
5839,Elif,Öztürk,65,84425,4
5840,Selin,Kaya,30,140572,18
5841,Selin,Çelik,30,71982,2
5842,Ayşe,Doğan,63,39737,5
5843,Ayşe,Kaya,55,20746,9
5844,Elif,Şahin,36,86574,10
5845,Zeynep,Şahin,27,105100,2
5846,Zeynep,Çelik,26,42136,16
5847,Ayşe,Öztürk,58,45247,7
5848,Elif,Korkmaz,26,95356,12
5849,Emre,Demir,18,54542,4
5850,Hüseyin,Demir,50,55278,5
5851,Fatma,Doğan,30,65170,2
5852,Ayşe,Şahin,38,80552,12
5853,Ali,Çelik,68,83254,6
5854,Emre,Kaya,33,138908,6
5855,Hüseyin,Korkmaz,41,134798,7
5856,Hüseyin,Yılmaz,62,125347,3
5857,Elif,Çelik,35,91171,2
5858,Elif,Çelik,41,84557,2
5859,Emre,Yılmaz,27,25240,14
5860,Elif,Kaya,63,118517,13
5861,Zeynep,Demir,52,76063,12
5862,Zeynep,Şahin,50,104439,1
5863,Ahmet,Kaya,59,31943,18
5864,Hüseyin,Doğan,24,120712,12
5865,Elif,Çelik,45,106145,17
5866,Mehmet,Korkmaz,53,106980,2
5867,Ahmet,Demir,37,95050,10
5868,Hüseyin,Çelik,56,25520,4
5869,Elif,Öztürk,19,90416,3
5870,Zeynep,Kaya,51,91918,7
5871,Ayşe,Doğan,55,77249,10
5872,Ayşe,Öztürk,51,86772,1
5873,Ali,Yılmaz,51,54393,16
5874,Ayşe,Öztürk,21,127904,16
5875,Ayşe,Öztürk,40,149475,8
5876,Fatma,Arslan,55,106272,7
5877,Fatma,Yılmaz,68,94501,19
5878,Zeynep,Doğan,51,24809,7
5879,Emre,Kaya,21,83933,2
5880,Ayşe,Güler,31,47765,9
5881,Ali,Öztürk,52,43490,3
5882,Emre,Şahin,33,131700,18
5883,Zeynep,Korkmaz,61,57975,9
5884,Elif,Doğan,51,32013,1
5885,Hüseyin,Şahin,48,80977,19
5886,Hüseyin,Şahin,59,71338,1
5887,Emre,Güler,46,102075,4
5888,Mehmet,Demir,27,48474,1
5889,Selin,Demir,29,44618,7
5890,Ali,Güler,43,95308,15
5891,Hüseyin,Öztürk,66,85789,4
5892,Selin,Öztürk,27,118854,17
5893,Mehmet,Korkmaz,50,36012,15
5894,Ahmet,Çelik,39,36522,19
5895,Emre,Çelik,54,123521,8
5896,Selin,Öztürk,29,64320,4
5897,Mehmet,Öztürk,53,129967,13
5898,Ali,Çelik,62,58192,12
5899,Selin,Yılmaz,20,82511,10
5900,Fatma,Arslan,50,49854,3
5901,Elif,Arslan,46,87094,18
5902,Ali,Yılmaz,54,68819,7
5903,Fatma,Yılmaz,28,99153,18
5904,Ayşe,Çelik,53,111048,7
5905,Ali,Doğan,47,71084,14
5906,Hüseyin,Korkmaz,61,122860,7
5907,Ahmet,Demir,59,112340,5
5908,Selin,Şahin,41,23191,2
5909,Fatma,Yılmaz,55,45100,16
5910,Mehmet,Güler,47,43068,10
5911,Zeynep,Yılmaz,51,57613,17
5912,Ahmet,Güler,53,67186,4
5913,Mehmet,Güler,60,46291,18
5914,Elif,Şahin,34,95996,14
5915,Ayşe,Yılmaz,38,143051,6
5916,Ayşe,Yılmaz,51,126283,2
5917,Ali,Çelik,21,90698,11
5918,Emre,Doğan,49,136859,1
5919,Ayşe,Yılmaz,63,54246,2
5920,Emre,Güler,54,112982,19
5921,Fatma,Öztürk,26,26105,3
5922,Ahmet,Doğan,42,42040,14
5923,Fatma,Çelik,43,87332,4
5924,Mehmet,Çelik,43,111998,19
5925,Mehmet,Güler,55,115804,11
5926,Fatma,Korkmaz,28,94700,19
5927,Mehmet,Yılmaz,50,62766,9
5928,Ahmet,Çelik,21,146134,5
5929,Zeynep,Öztürk,39,53330,13
5930,Ali,Korkmaz,58,127151,18
5931,Ayşe,Arslan,31,114311,7
5932,Ali,Şahin,50,143568,10
5933,Mehmet,Şahin,60,25260,11
5934,Selin,Şahin,23,97720,4
5935,Zeynep,Güler,39,147455,10
5936,Ahmet,Korkmaz,58,97265,9
5937,Selin,Yılmaz,31,143462,19
5938,Fatma,Güler,45,96167,18
5939,Selin,Şahin,52,52649,6
5940,Emre,Doğan,18,118636,15
5941,Mehmet,Arslan,62,144468,5
5942,Mehmet,Güler,57,102705,18
5943,Hüseyin,Güler,66,64453,6
5944,Selin,Doğan,65,47575,18
5945,Ahmet,Korkmaz,69,53497,8
5946,Zeynep,Demir,35,87656,2
5947,Zeynep,Çelik,50,130462,16
5948,Selin,Yılmaz,50,129077,10
5949,Ayşe,Doğan,29,119601,9
5950,Mehmet,Çelik,60,136804,13
5951,Hüseyin,Arslan,24,29117,12
5952,Ahmet,Güler,36,61381,10
5953,Zeynep,Korkmaz,51,119481,15
5954,Selin,Yılmaz,69,68328,19
5955,Ali,Şahin,23,61959,13
5956,Elif,Yılmaz,35,93739,19
5957,Ahmet,Demir,28,129143,8
5958,Hüseyin,Korkmaz,30,88699,2
5959,Emre,Şahin,59,130480,3
5960,Hüseyin,Öztürk,35,121320,3
5961,Fatma,Korkmaz,49,82484,16
5962,Ali,Şahin,21,74561,5
5963,Ayşe,Güler,58,49209,6
5964,Selin,Yılmaz,52,124782,8
5965,Selin,Korkmaz,60,103081,1
5966,Zeynep,Arslan,48,27065,2
5967,Zeynep,Yılmaz,24,121060,13
5968,Mehmet,Arslan,18,100993,9
5969,Ali,Yılmaz,22,22292,5
5970,Ayşe,Şahin,22,145184,10
5971,Selin,Doğan,62,69448,19
5972,Emre,Kaya,18,48365,12
5973,Ayşe,Doğan,69,125166,2
5974,Ali,Güler,53,102635,4
5975,Hüseyin,Demir,40,93733,11
5976,Ahmet,Demir,48,84536,14
5977,Elif,Arslan,57,80667,17
5978,Selin,Çelik,47,142637,13
5979,Fatma,Yılmaz,40,87962,19
5980,Ali,Güler,41,48394,5
5981,Selin,Demir,67,66786,14
5982,Selin,Güler,44,80290,5
5983,Fatma,Kaya,29,21929,17
5984,Ayşe,Korkmaz,20,28160,16
5985,Ayşe,Yılmaz,39,74977,11
5986,Elif,Yılmaz,30,143117,19
5987,Elif,Arslan,34,57614,10
5988,Ali,Çelik,20,97820,13
5989,Selin,Şahin,45,132679,8
5990,Ahmet,Öztürk,30,31329,8
5991,Ayşe,Öztürk,59,128370,8
5992,Ali,Yılmaz,53,30231,3
5993,Elif,Korkmaz,18,147898,17
5994,Hüseyin,Doğan,31,82121,16
5995,Selin,Çelik,55,68207,3
5996,Hüseyin,Şahin,36,59559,3
5997,Ahmet,Doğan,53,94499,6
5998,Ali,Güler,28,140687,13
5999,Ahmet,Güler,37,91801,13
6000,Zeynep,Arslan,62,35272,4
6001,Emre,Öztürk,45,44740,8
6002,Ayşe,Güler,27,100685,14
6003,Elif,Güler,66,58944,13
6004,Ayşe,Doğan,56,97390,4
6005,Selin,Şahin,30,85325,11
6006,Hüseyin,Arslan,65,123726,4
6007,Ahmet,Şahin,56,49861,19
6008,Ali,Korkmaz,67,42516,11
6009,Ali,Arslan,56,34308,16
6010,Selin,Demir,23,32702,13
6011,Elif,Şahin,40,42155,10
6012,Selin,Demir,30,78708,13
6013,Emre,Korkmaz,20,56214,12
6014,Elif,Demir,18,140745,13
6015,Ahmet,Şahin,67,149764,13
6016,Ahmet,Arslan,42,40215,8
6017,Ahmet,Doğan,60,128440,4
6018,Emre,Öztürk,47,98832,7
6019,Hüseyin,Yılmaz,46,97098,11
6020,Fatma,Doğan,50,64840,7
6021,Ayşe,Güler,22,128555,10
6022,Emre,Güler,26,51265,7
6023,Ahmet,Doğan,36,35144,12
6024,Selin,Arslan,63,136397,13
6025,Ahmet,Yılmaz,46,41299,19
6026,Ahmet,Çelik,25,132118,5
6027,Fatma,Korkmaz,26,70196,1
6028,Emre,Yılmaz,34,140724,1
6029,Elif,Çelik,40,117250,16
6030,Ahmet,Yılmaz,60,130924,16
6031,Ali,Öztürk,33,34993,5
6032,Selin,Yılmaz,38,126503,16
6033,Selin,Öztürk,66,139877,14
6034,Hüseyin,Yılmaz,39,37224,19
6035,Emre,Çelik,41,58575,2
6036,Emre,Korkmaz,51,40259,1
6037,Mehmet,Demir,20,35794,17
6038,Ali,Kaya,66,95639,16
6039,Mehmet,Öztürk,44,146844,5
6040,Fatma,Doğan,29,79325,16
6041,Ahmet,Güler,42,82062,7
6042,Selin,Demir,33,127179,16
6043,Elif,Güler,65,72772,9
6044,Ahmet,Demir,43,29118,4
6045,Fatma,Şahin,23,34720,4
6046,Ahmet,Arslan,40,113338,5
6047,Mehmet,Çelik,69,147346,14
6048,Selin,Korkmaz,52,137599,3
6049,Fatma,Çelik,47,144933,12
6050,Ali,Öztürk,30,148940,13
6051,Fatma,Şahin,62,113859,6
6052,Selin,Güler,38,95893,9
6053,Ahmet,Arslan,64,50534,12
6054,Ahmet,Yılmaz,51,61682,9
6055,Hüseyin,Doğan,29,125112,13
6056,Zeynep,Demir,64,69684,18
6057,Ahmet,Yılmaz,48,132075,8
6058,Selin,Çelik,64,56330,4
6059,Fatma,Güler,29,126475,6
6060,Ahmet,Öztürk,24,55604,17
6061,Fatma,Yılmaz,49,65868,14
6062,Emre,Güler,52,61236,8
6063,Fatma,Kaya,59,101501,10
6064,Ali,Yılmaz,39,142997,11
6065,Emre,Demir,28,22744,15
6066,Hüseyin,Güler,45,42478,5
6067,Zeynep,Yılmaz,35,83552,11
6068,Emre,Öztürk,56,60623,5
6069,Mehmet,Arslan,24,145514,17
6070,Elif,Demir,29,99230,14
6071,Zeynep,Demir,66,120981,13
6072,Ahmet,Arslan,47,29462,16
6073,Elif,Öztürk,31,148434,4
6074,Zeynep,Kaya,64,79675,3
6075,Fatma,Şahin,37,54518,17
6076,Fatma,Arslan,25,116553,11
6077,Ali,Kaya,34,53970,13
6078,Ali,Güler,24,132391,3
6079,Elif,Korkmaz,58,126696,14
6080,Fatma,Doğan,33,115981,13
6081,Mehmet,Korkmaz,20,109120,10
6082,Ahmet,Kaya,28,77889,17
6083,Elif,Güler,59,131417,4
6084,Selin,Arslan,60,78582,1
6085,Mehmet,Öztürk,58,72249,13
6086,Ali,Güler,47,142456,3
6087,Selin,Şahin,28,30366,1
6088,Emre,Yılmaz,28,104563,2
6089,Elif,Şahin,49,63544,1
6090,Ahmet,Demir,35,48799,3
6091,Emre,Kaya,53,79755,11
6092,Hüseyin,Doğan,54,137690,2
6093,Ayşe,Demir,54,25151,8
6094,Ayşe,Korkmaz,35,76128,12
6095,Mehmet,Korkmaz,67,59102,14
6096,Hüseyin,Doğan,39,24713,8
6097,Ayşe,Demir,45,138083,2
6098,Emre,Kaya,43,130449,8
6099,Selin,Güler,65,84933,7
6100,Ali,Korkmaz,26,80925,7
